Page / Section	English Content	Arabic Translation
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Uncompromised style and modern design. Tailored for individuals and business leaders.	أسلوب لا يُضاهى وتصميم عصري. مخصصة للأفراد وقادة الأعمال.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Luxury Sedan	السيدان الفاخرة
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	The absolute standard of executive comfort. Sleek profile with premium interior amenities.	أعلى معايير الراحة التنفيذية. مظهر أنيق مع أجواء داخلية راقية.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Business SUV	SUV الأعمال
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Ideal for corporate events and group transfers. Combining power, comfort, and refined style.	مثالية لفعاليات الشركات والنقل الجماعي. تجمع القوة والراحة والأناقة.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Corporate Sedan	سيدان الشركات
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	Sleek performance meets executive privilege. A seamless experience for the modern professional.	أداء رفيع يلتقي بامتياز تنفيذي. تجربة سلسة للمحترف الحديث.
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	VIP Limousine	ليموزين VIP
Homepage — Featured Fleet (whiteline.markition.com/#fleet)	The pinnacle of luxury ground travel. Discreet, spacious, and impeccably appointed.	قمة الفخامة في السفر البري. خاصة وفسيحة ومجهزة بكل ما يلزم.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	The Whiteline Experience	تجربة وايت لاين
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	What Our	ماذا يقول
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Customers	عملاؤنا
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Say	[MISSING ARABIC TRANSLATION]
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Trusted by leaders, dignitaries, and frequent travelers across Saudi Arabia. Read how our unwavering commitment to discretion and punctuality shapes every journey.	موثوق من قِبل القادة والشخصيات الرفيعة والمسافرين المتكررين في أرجاء المملكة العربية السعودية. اقرأ كيف يُشكّل التزامنا بالخصوصية والدقة كل رحلة.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Raza Hussain	رزا حسين
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Consultant	مستشار
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Park next busy ever. Elinor her his secure far twenty eat object. Any far saw size want man. Which way you wrong.	خدمة استثنائية في كل تفصيلة. وصلت في الوقت المحدد وبكل راحة. أنصح بها بشدة لكل من يبحث عن السفر الراقي.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Sultan Ali	سلطان علي
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Business Traveller	رجل أعمال
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Ten the hastened steepest feelings pleasant few surprise property. An brother he do colonel against.	تجربة فاخرة لا مثيل لها. السائق كان محترفاً للغاية والسيارة كانت في قمة النظافة والأناقة.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Farah Khan	فرح خان
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Operations Manager	مديرة عمليات
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Can how elinor warmly mrs basket marked. Led raising expense yet demesne weather musical. Me mr what.	وايت لاين غيّرت مفهومي للنقل الراقي. الدقة في المواعيد والاهتمام بالتفاصيل أمر يُشكر.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Raza Hussain	رزا حسين
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Executive Director	مدير تنفيذي
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Park next busy ever. Elinor her his secure far twenty eat object. Any far saw size want man. Which way you wrong.	خدمة احترافية من الدرجة الأولى. كل رحلة كانت تجربة مميزة تستحق التكرار.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Khalid Al-Rashid	خالد الراشد
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	CEO	الرئيس التنفيذي
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Absolute excellence in service. Every journey has been seamless — the professionalism is unmatched.	تميز لا يُضاهى في الخدمة. كل رحلة كانت سلسة تماماً — الاحترافية لا مثيل لها.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Noor Al-Sayed	نور السيد
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	VIP Guest	ضيف VIP
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	The discretion and punctuality set Whiteline apart. I would not use any other chauffeur service.	الخصوصية والالتزام بالمواعيد ما يميز وايت لاين. لن أستخدم خدمة نقل أخرى بعد الآن.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Abdullah Hassan	عبدالله حسن
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Senior Manager	مدير أول
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Reliable, comfortable, and always on time. A truly premium experience from booking to arrival.	موثوق ومريح ودائم في الوقت المحدد. تجربة راقية حقاً من الحجز حتى الوصول.
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Mohammed Tariq	محمد طارق
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Corporate Client	عميل مؤسسي
Homepage — Customer Reviews (whiteline.markition.com/#testimonials)	Outstanding fleet and exceptional drivers. My clients are always impressed. Highly recommended.	أسطول رائع وسائقون متميزون. عملائي دائماً يُبدون إعجابهم. أنصح بها بشدة.
Homepage — Mobile App Download (whiteline.markition.com/)	Professional	سائقون
Homepage — Mobile App Download (whiteline.markition.com/)	chauffeurs	محترفون
Homepage — Mobile App Download (whiteline.markition.com/)	at your fingertips	في متناول يدك
Homepage — Mobile App Download (whiteline.markition.com/)	Professional	سائقون
Homepage — Mobile App Download (whiteline.markition.com/)	Chauffeurs	محترفون
Homepage — Mobile App Download (whiteline.markition.com/)	At Your Fingertips	في متناول يدك
Homepage — Mobile App Download (whiteline.markition.com/)	Download the Whiteline Chauffeur Hailing™ app to hail chauffeurs on demand in select cities.	حمّل تطبيق وايت لاين للطلب الفوري للسائقين في المدن المتاحة.
Homepage — Mobile App Download (whiteline.markition.com/)	Download on the	حمّل من
Homepage — Mobile App Download (whiteline.markition.com/)	App Store	App Store
Homepage — Mobile App Download (whiteline.markition.com/)	Get it on	احصل عليه من
Homepage — Mobile App Download (whiteline.markition.com/)	Google Play	Google Play
About Page — Hero (whiteline.markition.com/about)	Redefining Executive	إعادة تعريف السفر التنفيذي
About Page — Hero (whiteline.markition.com/about)	Travel In The Kingdom	في المملكة
About Page — Hero (whiteline.markition.com/about)	Beyond a ride — we engineer seamless journeys. From single airport transfers to full-scale corporate delegations, our curated fleet and professional chauffeurs ensure you travel in absolute comfort, privacy, and punctuality across Saudi Arabia.	أكثر من مجرد رحلة — نُهندس تجارب سفر سلسة. من نقل المطار الفردي إلى الوفود المؤسسية الكاملة، يضمن أسطولنا المنتقى وسائقونا المحترفون وصولك بكل راحة وخصوصية ودقة في أرجاء المملكة.
About Page — Hero (whiteline.markition.com/about)	Explore Our Services	استكشف خدماتنا
About Page — Hero (whiteline.markition.com/about)	Book Your Ride	احجز رحلتك
About Page — About White Line (whiteline.markition.com/about)	Engineered For	مُهندَس لمعايير
About Page — About White Line (whiteline.markition.com/about)	Discerning Standards	الرقي والتميز
About Page — About White Line (whiteline.markition.com/about)	At White Line, luxury is not merely an aesthetic — it is a discipline. We believe that true executive travel requires an uncompromising dedication to precision, where every minute detail is anticipated before you even step inside the vehicle. Our operational framework is built from the ground up to serve leaders, dignitaries, and high-profile individuals who demand absolute perfection from their environment.	في وايت لاين، الفخامة ليست مجرد مظهر — بل هي منهج عمل. نؤمن بأن السفر التنفيذي الحقيقي يستلزم التزاماً راسخاً بالدقة، حيث يُستبق كل تفصيلة قبل أن تخطو داخل المركبة. إطارنا التشغيلي مُبني من الصفر لخدمة القادة والشخصيات الرفيعة والأفراد البارزين.
About Page — About White Line (whiteline.markition.com/about)	K+	ألف+
About Page — About White Line (whiteline.markition.com/about)	Successfully / Completed Rides	رحلة مكتملة / بنجاح
About Page — About White Line (whiteline.markition.com/about)	+	+
About Page — About White Line (whiteline.markition.com/about)	Elite / Chauffeurs	سائق / متميز
About Page — About White Line (whiteline.markition.com/about)	%	%
About Page — About White Line (whiteline.markition.com/about)	On-Time / Rating	تقييم / الالتزام بالمواعيد
About Page — About White Line (whiteline.markition.com/about)	24/7	٢٤/٧
About Page — About White Line (whiteline.markition.com/about)	Dedicated / Support	دعم / متواصل
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Mastery Behind the Wheel	الإتقان خلف المقود
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Engineered For	مُهندَس لمعايير
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Discerning Standards	الرقي والتميز
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	At White Line, luxury is not merely an aesthetic — it is a discipline. We believe that true executive travel requires an uncompromising dedication to precision, where every minute detail is anticipated.	في وايت لاين، الفخامة ليست مجرد مظهر — بل هي منهج عمل. نؤمن بأن السفر التنفيذي الحقيقي يستلزم التزاماً راسخاً بالدقة، حيث يُستبق كل تفصيلة.
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Mastery Behind the Wheel	الإتقان خلف المقود
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Every chauffeur in our network is handpicked and rigorously trained beyond ordinary driving standards — ensuring each journey is handled with expertise and grace.	يُختار كل سائق في شبكتنا بعناية ويتلقى تدريباً صارماً يتجاوز المعايير المعتادة — لضمان قيادة كل رحلة بخبرة ورقي.
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Punctuality as a Standard	الالتزام بالمواعيد معيارٌ ثابت
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	We treat time as the most valuable currency. Zero-compromise scheduling, real-time tracking, and proactive adjustments keep every arrival precisely on time.	نتعامل مع الوقت باعتباره أثمن الأصول. جدولة لا تقبل المساومة وتتبع لحظي وتعديلات استباقية تضمن دقة الوصول في كل مرة.
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Sanctuaries of Quiet Luxury	ملاذات من الفخامة الهادئة
About Page — Mastery Behind the Wheel (whiteline.markition.com/about)	Our fleet represents the pinnacle of automotive comfort. Each vehicle undergoes multi-point inspections and pristine detailing before every assignment.	يمثل أسطولنا قمة الراحة في عالم السيارات. تخضع كل مركبة لفحوصات متعددة النقاط وتنظيف احترافي قبل كل مهمة.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Tailored Corporate Solutions	حلول مؤسسية مخصصة
About Page — WhiteLine Advantage (whiteline.markition.com/about)	The WhiteLine	ميزة
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Advantage	وايت لاين
About Page — WhiteLine Advantage (whiteline.markition.com/about)	In a world where transportation is commonplace, we treat every journey as a standard of distinction. By combining an elite fleet, rigorously trained chauffeurs, and a relentless commitment to your privacy and punctuality.	في عالم تتشابه فيه خدمات النقل، نعامل كل رحلة باعتبارها معياراً للتميز. بدمج أسطول نخبوي وسائقين مدربين تدريباً صارماً والتزام لا يتراجع بخصوصيتك ودقة مواعيدك.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Designed around your journey.	مصمم حول رحلتك.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	From real-time tracking to any custom destination, every detail is custom-tailored.	من التتبع اللحظي إلى أي وجهة مخصصة، كل تفصيلة مُهيَّأة وفق احتياجاتك.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Professional service.	خدمة احترافية.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Experienced chauffeurs, trained strictly to prioritise comfort and discretion.	سائقون ذوو خبرة، مدربون على إيلاء الراحة والخصوصية الأولوية القصوى.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Technology that works for you.	تقنية تعمل لصالحك.
About Page — WhiteLine Advantage (whiteline.markition.com/about)	Simple booking, automatic notifications, transparent payments, and responsive support.	حجز مبسّط وإشعارات تلقائية ومدفوعات شفافة ودعم متجاوب.
About Page — Gold Standard (whiteline.markition.com/about)	The Gold Standard	المعيار الذهبي
About Page — Gold Standard (whiteline.markition.com/about)	Why Leaders Choose	لماذا يختار القادة
About Page — Gold Standard (whiteline.markition.com/about)	WhiteLine	وايت لاين
About Page — Gold Standard (whiteline.markition.com/about)	Built on an uncompromising foundation of luxury, safety, and discretion, our service is tailored to meet the exacting standards of the Kingdom's elite.	خدمة مبنية على أساس راسخ من الفخامة والسلامة والخصوصية، مصممة لتلبية المعايير الصارمة لنخبة المملكة.
About Page — Gold Standard (whiteline.markition.com/about)	Elite Professionals	محترفون من النخبة
About Page — Gold Standard (whiteline.markition.com/about)	Rigorously vetted chauffeurs trained in executive etiquette and absolute confidentiality.	سائقون مدققون بصرامة ومدربون على آداب التعامل التنفيذي والسرية التامة.
About Page — Gold Standard (whiteline.markition.com/about)	Pristine Vehicles	مركبات في قمة الأناقة
About Page — Gold Standard (whiteline.markition.com/about)	Meticulously maintained luxury sedans engineered for supreme comfort and safety.	سيارات فاخرة مصانة بدقة، مُهندَسة لتوفير أقصى درجات الراحة والأمان.
About Page — Gold Standard (whiteline.markition.com/about)	Total Privacy	خصوصية تامة
About Page — Gold Standard (whiteline.markition.com/about)	Secure operational workflows ensuring complete discretion for dignitaries and leaders.	أنظمة تشغيل آمنة تضمن السرية المطلقة للشخصيات الرفيعة والقادة.
Services Page — Hero (whiteline.markition.com/services)	Every Journey	كل رحلة
Services Page — Hero (whiteline.markition.com/services)	Deserves A Better Way.	تستحق طريقة أفضل.
Services Page — Hero (whiteline.markition.com/services)	From the moment you land to the moment you arrive, WhiteLine delivers premium chauffeur transportation with privacy, precision and a service experience designed around you.	من لحظة وصولك حتى لحظة وصولك إلى وجهتك، تُقدم وايت لاين خدمات نقل فاخرة بخصوصية ودقة وتجربة خدمة مصممة حول احتياجاتك.
Services Page — Hero (whiteline.markition.com/services)	Explore Our Services	استكشف خدماتنا
Services Page — Hero (whiteline.markition.com/services)	Book Your Ride	احجز رحلتك
Services Page — Services List (whiteline.markition.com/services)	Our Services	خدماتنا
Services Page — Services List (whiteline.markition.com/services)	One Destination Or Many.	وجهة واحدة أو أكثر.
Services Page — Services List (whiteline.markition.com/services)	We've Got The Ride.	لدينا الرحلة المناسبة.
Services Page — Services List (whiteline.markition.com/services)	WhiteLine delivers premium chauffeur transportation for people who value comfort, reliability, and exceptional service. From airport transfers to corporate journeys, every ride is designed to make growing more effortless.	تُقدم وايت لاين خدمات نقل فاخرة للذين يقدّرون الراحة والموثوقية والخدمة المتميزة. من نقل المطار إلى رحلات الأعمال، كل رحلة مصممة لتجعل حياتك أكثر سلاسة.
Services Page — Services List (whiteline.markition.com/services)	Explore Service	استكشف الخدمة
Services Page — Services List (whiteline.markition.com/services)	One-Way Ride	رحلة أحادية
Services Page — Services List (whiteline.markition.com/services)	Direct	نقل
Services Page — Services List (whiteline.markition.com/services)	Point-To-Point	من نقطة لأخرى
Services Page — Services List (whiteline.markition.com/services)	Urban Transportation	داخل المدينة
Services Page — Services List (whiteline.markition.com/services)	Experience seamless, point-to-point urban transportation meticulously designed for efficiency and elegance. Whether you are heading to a high-stakes corporate briefing, a private appointment, or a critical engagement across town, our direct transit service ensures you arrive promptly and completely composed, eliminating the stress of navigation, traffic management, and unnecessary detours.	استمتع بتنقل سلس من نقطة لأخرى داخل المدينة، مصمم بعناية للكفاءة والأناقة. سواء كنت متجهاً إلى اجتماع مؤسسي أو موعد خاص أو التزام عاجل عبر المدينة، تضمن لك خدمتنا المباشرة الوصول في الوقت المحدد وبكل هدوء.
Services Page — Services List (whiteline.markition.com/services)	Hourly Chauffeur	سائق بالساعة
Services Page — Services List (whiteline.markition.com/services)	On-Demand Hourly	سائق خاص
Services Page — Services List (whiteline.markition.com/services)	Chauffeur Service	عند الطلب بالساعة
Services Page — Services List (whiteline.markition.com/services)	Enjoy the ultimate convenience of dedicated mobility with a private chauffeur entirely at your disposal throughout the day. Designed for dynamic, ever-changing itineraries and multiple consecutive stops, this bespoke service offers unmatched flexibility, allowing you to move through your schedule at your own pace while your vehicle and driver remain ready and waiting nearby.	استمتع بأقصى درجات المرونة مع سائق خاص تحت تصرفك طوال اليوم. مثالية للمواعيد المتغيرة وعدة محطات متتالية، توفر لك هذه الخدمة حرية التنقل بالوتيرة التي تناسبك بينما تظل مركبتك وسائقك في انتظارك.
Services Page — Services List (whiteline.markition.com/services)	City To City	بين المدن
Services Page — Services List (whiteline.markition.com/services)	Long-Distance	سفر بعيد المدى
Services Page — Services List (whiteline.markition.com/services)	Intercity	بين المدن
Services Page — Services List (whiteline.markition.com/services)	Executive Travel	تنفيذي فاخر
Services Page — Services List (whiteline.markition.com/services)	Bridge the distance between major metropolitan hubs in absolute comfort and tranquility. Our intercity travel service provides a smooth, private environment within an elite luxury vehicle, allowing you to relax, prepare for upcoming engagements, or conduct confidential business uninterrupted while traveling seamlessly across regions.	اقطع المسافات بين المدن الكبرى في راحة وهدوء تامَّين. توفر خدمة السفر بين المدن لدينا بيئة خاصة سلسة داخل مركبة فاخرة، تتيح لك الاسترخاء والتحضير للقاءاتك القادمة أو إجراء أعمالك السرية دون انقطاع.
Services Page — Services List (whiteline.markition.com/services)	Day Service	خدمة يوم كامل
Services Page — Services List (whiteline.markition.com/services)	Dedicated Full-Day	نقل احترافي
Services Page — Services List (whiteline.markition.com/services)	Professional Transport	طوال اليوم
Services Page — Services List (whiteline.markition.com/services)	Secure a dedicated professional transportation partner for your entire day's schedule. Perfect for back-to-back corporate meetings, VIP hosting, and complex multi-location event itineraries, this comprehensive service guarantees continuous vehicle availability, flawless coordination, and uncompromised discretion from your first morning departure until late into the evening.	احجز شريكاً متخصصاً في النقل لجدولك اليومي الكامل. مثالي للاجتماعات المؤسسية المتلاحقة واستضافة كبار الشخصيات والفعاليات متعددة المواقع، يضمن توافر المركبة باستمرار والتنسيق السلس والخصوصية التامة من أول تحرك صباحاً حتى آخر الليل.
Services Page — Services List (whiteline.markition.com/services)	Airport Transfer	نقل المطار
Services Page — Services List (whiteline.markition.com/services)	Seamless	نقل
Services Page — Services List (whiteline.markition.com/services)	Airport Transfers	سلس من المطار
Services Page — Services List (whiteline.markition.com/services)	& Flight Tracking	وتتبع الرحلات
Services Page — Services List (whiteline.markition.com/services)	Start or conclude your international journey with absolute peace of mind through our premier airport transfer service. Featuring real-time flight tracking, proactive schedule adjustments for delayed flights, and professional luggage assistance, our chauffeurs ensure a smooth, effortless transition between the terminal and your final destination.	ابدأ رحلتك الدولية أو اختتمها بتمام الطمأنينة عبر خدمة نقل المطار المتميزة لدينا. مع تتبع الرحلات لحظياً وتعديلات استباقية عند التأخير ومساعدة احترافية بالأمتعة، يضمن سائقونا انتقالاً سلساً بين الصالة ووجهتك النهائية.
Our Fleet Page — Hero (whiteline.markition.com/fleet)	A	[MISSING ARABIC TRANSLATION]
Our Fleet Page — Hero (whiteline.markition.com/fleet)	Vehicle	مركبة
Our Fleet Page — Hero (whiteline.markition.com/fleet)	For	لكل
Our Fleet Page — Hero (whiteline.markition.com/fleet)	Every Occasion	مناسبة
